DateTime,Temperature,RH,Precip
2025-09-17 23:00:00+08:00,25.8,95,0.0
2025-09-18 00:00:00+08:00,25.7,96,0.0
2025-09-18 01:00:00+08:00,25.9,95,0.0
2025-09-18 02:00:00+08:00,25.5,96,0.0
2025-09-18 03:00:00+08:00,25.1,97,0.0
2025-09-18 04:00:00+08:00,24.9,97,0.0
2025-09-18 05:00:00+08:00,24.7,97,0.0
2025-09-18 06:00:00+08:00,24.3,96,0.0
2025-09-18 07:00:00+08:00,25.2,93,0.0
2025-09-18 08:00:00+08:00,26.9,82,0.0
2025-09-18 09:00:00+08:00,27.4,79,0.0
2025-09-18 10:00:00+08:00,29.5,73,0.0
2025-09-18 11:00:00+08:00,30.8,69,0.0
2025-09-18 12:00:00+08:00,29.8,75,0.0
2025-09-18 13:00:00+08:00,30.3,67,0.0
2025-09-18 14:00:00+08:00,31.0,63,0.0
2025-09-18 15:00:00+08:00,29.0,82,0.0
2025-09-18 16:00:00+08:00,27.7,82,0.0
2025-09-18 17:00:00+08:00,27.1,83,0.0
2025-09-18 18:00:00+08:00,26.5,89,0.0
2025-09-18 19:00:00+08:00,25.5,92,0.0
2025-09-18 20:00:00+08:00,25.6,92,0.0
2025-09-18 21:00:00+08:00,25.4,95,0.0
2025-09-18 22:00:00+08:00,25.2,96,0.0
2025-09-18 23:00:00+08:00,25.1,97,0.0
2025-09-19 00:00:00+08:00,25.0,97,0.0
2025-09-19 01:00:00+08:00,25.0,97,0.0
2025-09-19 02:00:00+08:00,24.8,97,0.0
2025-09-19 03:00:00+08:00,24.6,98,0.0
2025-09-19 04:00:00+08:00,24.3,98,0.0
2025-09-19 05:00:00+08:00,24.1,97,0.0
2025-09-19 06:00:00+08:00,24.4,94,0.0
2025-09-19 07:00:00+08:00,25.7,85,0.0
2025-09-19 08:00:00+08:00,27.2,79,0.0
2025-09-19 09:00:00+08:00,28.9,72,0.0
2025-09-19 10:00:00+08:00,31.4,59,0.0
2025-09-19 11:00:00+08:00,32.0,58,0.0
2025-09-19 12:00:00+08:00,33.6,57,0.0
2025-09-19 13:00:00+08:00,33.9,50,0.0
2025-09-19 14:00:00+08:00,31.7,62,0.0
2025-09-19 15:00:00+08:00,26.0,88,0.0
2025-09-19 16:00:00+08:00,25.7,91,0.0
2025-09-19 17:00:00+08:00,24.6,97,0.5
2025-09-19 18:00:00+08:00,24.2,99,3.5
2025-09-19 19:00:00+08:00,24.2,99,5.5
2025-09-19 20:00:00+08:00,24.1,98,6.5
2025-09-19 21:00:00+08:00,24.5,94,6.5
2025-09-19 22:00:00+08:00,24.1,99,6.5
2025-09-19 23:00:00+08:00,24.1,99,6.5
2025-09-20 00:00:00+08:00,23.9,99,6.5
2025-09-20 01:00:00+08:00,23.9,98,0.0
2025-09-20 02:00:00+08:00,24.1,97,0.0
2025-09-20 03:00:00+08:00,23.8,98,0.0
2025-09-20 04:00:00+08:00,23.9,93,0.0
2025-09-20 05:00:00+08:00,23.7,94,0.0
2025-09-20 06:00:00+08:00,23.9,91,0.0
2025-09-20 07:00:00+08:00,24.2,91,0.0
2025-09-20 08:00:00+08:00,25.5,81,0.0
2025-09-20 09:00:00+08:00,28.9,67,0.0
2025-09-20 10:00:00+08:00,30.6,66,0.0
2025-09-20 11:00:00+08:00,31.5,61,0.0
2025-09-20 12:00:00+08:00,31.5,60,0.0
2025-09-20 13:00:00+08:00,32.7,58,0.0
2025-09-20 14:00:00+08:00,31.9,62,0.0
2025-09-20 15:00:00+08:00,27.4,95,0.5
2025-09-20 16:00:00+08:00,27.2,89,0.5
2025-09-20 17:00:00+08:00,23.6,99,13.5
2025-09-20 18:00:00+08:00,24.2,99,14.0
2025-09-20 19:00:00+08:00,24.3,99,14.0
2025-09-20 20:00:00+08:00,24.0,99,14.0
2025-09-20 21:00:00+08:00,23.7,99,14.0
2025-09-20 22:00:00+08:00,23.6,99,14.0
2025-09-20 23:00:00+08:00,23.4,99,14.0
2025-09-21 00:00:00+08:00,23.2,99,14.0
2025-09-21 01:00:00+08:00,23.0,99,0.0
2025-09-21 02:00:00+08:00,23.0,99,0.0
2025-09-21 03:00:00+08:00,22.8,99,0.5
2025-09-21 04:00:00+08:00,22.8,99,0.5
2025-09-21 05:00:00+08:00,22.7,98,0.5
2025-09-21 06:00:00+08:00,22.9,91,0.5
2025-09-21 07:00:00+08:00,24.0,87,0.5
2025-09-21 08:00:00+08:00,25.1,83,0.5
2025-09-21 09:00:00+08:00,28.5,63,0.5
2025-09-21 10:00:00+08:00,30.5,62,0.5
2025-09-21 11:00:00+08:00,31.5,63,0.5
2025-09-21 12:00:00+08:00,32.1,60,0.5
2025-09-21 13:00:00+08:00,31.8,63,0.5
2025-09-21 14:00:00+08:00,33.3,58,0.5
2025-09-21 15:00:00+08:00,32.7,62,0.5
2025-09-21 16:00:00+08:00,32.7,60,0.5
2025-09-21 17:00:00+08:00,31.7,68,0.5
2025-09-21 18:00:00+08:00,29.7,78,0.5
2025-09-21 19:00:00+08:00,28.3,88,0.5
2025-09-21 20:00:00+08:00,27.4,91,0.5
2025-09-21 21:00:00+08:00,26.8,94,0.5
2025-09-21 22:00:00+08:00,26.2,96,0.5
2025-09-21 23:00:00+08:00,26.0,96,0.5
2025-09-22 00:00:00+08:00,25.6,96,0.5
2025-09-22 01:00:00+08:00,25.1,97,0.0
2025-09-22 02:00:00+08:00,25.1,96,0.0
2025-09-22 03:00:00+08:00,24.7,97,0.0
2025-09-22 04:00:00+08:00,24.5,97,0.0
2025-09-22 05:00:00+08:00,24.1,94,0.0
2025-09-22 06:00:00+08:00,23.8,97,0.0
2025-09-22 07:00:00+08:00,24.7,95,0.0
2025-09-22 08:00:00+08:00,25.4,92,0.0
2025-09-22 09:00:00+08:00,26.5,85,0.0
2025-09-22 10:00:00+08:00,33.5,55,0.0
2025-09-22 11:00:00+08:00,34.6,40,0.0
2025-09-22 12:00:00+08:00,34.4,44,0.0
2025-09-22 13:00:00+08:00,33.5,65,0.0
2025-09-22 14:00:00+08:00,34.0,42,0.0
2025-09-22 15:00:00+08:00,33.9,41,0.0
2025-09-22 16:00:00+08:00,32.9,45,0.0
2025-09-22 17:00:00+08:00,32.8,44,0.0
2025-09-22 18:00:00+08:00,32.1,46,0.0
2025-09-22 19:00:00+08:00,30.9,51,0.0
2025-09-22 20:00:00+08:00,28.3,63,0.0
2025-09-22 21:00:00+08:00,26.3,77,0.0
2025-09-22 22:00:00+08:00,26.8,73,0.0
2025-09-22 23:00:00+08:00,26.1,75,0.0
